rowid,fpl_hostname,fpl_name,fpl_disc,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_bmassj,fpl_rade,fpl_radj,fpl_rads,fpl_dens,fpl_eqt,fst_dist,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_age
134,GJ 1214,GJ 1214 b,2009,1.58040456,0.01411,0,6.26125,0.0197,2.847,0.254,0.026,1.49,547,14.65,3026,4.94,-2.312,0.15,0.22,0.39,3
135,GJ 1265,GJ 1265 b,2018,3.6511,0.026,0.04,7.4,0.02328,2.63,0.234,0.024,2.24,,10.26,3236,5.09,-2.439,0.18,0.19,-0.04,
136,GJ 143,GJ 143 b,2019,35.61253,0.1915,0.188,22.7,0.07142,2.61,0.233,0.024,7,422,16.33,4640,4.61,-0.686,0.73,0.69,0.003,3.8
137,GJ 15 A,GJ 15 A b,2014,11.4407,0.072,0.094,3.03,0.00953,1.55,0.139,0.014,4.47,550,3.56,3607,4.87,-1.655,0.38,0.38,-0.34,
138,GJ 15 A,GJ 15 A c,2018,7600,5.4,0.27,36,0.11327,6.67,0.595,0.061,0.667,,3.56,3607,4.87,-1.655,0.38,0.38,-0.34,
139,GJ 160.2,GJ 160.2 b,2014,5.2354,0.053,0.06,10.2,0.03209,3.17,0.283,0.029,1.76,,25.88,4347,,-0.796,0.69,0.66,,
140,GJ 163,GJ 163 b,2013,8.63182,0.0607,0.073,10.6,0.03335,3.25,0.29,0.03,1.7,,15.14,3500,,-1.708,0.4,0.43,0.1,6
141,GJ 163,GJ 163 c,2013,25.63058,0.1254,0.099,6.8,0.0214,2.5,0.223,0.023,2.39,,15.14,3500,,-1.708,0.4,0.43,0.1,6
142,GJ 163,GJ 163 d,2013,603.95116,1.0304,0.373,29.4,0.0925,5.92,0.528,0.054,0.779,,15.14,3500,,-1.708,0.4,0.43,0.1,6
143,GJ 179,GJ 179 b,2009,2288,2.41,0.21,260.61,0.82,13.9,1.24,0.128,0.533,,12.36,3370,4.83,-1.796,0.36,0.38,0.3,
144,GJ 180,GJ 180 b,2014,17.38,0.103,0.11,8.3,0.02611,2.81,0.251,0.026,2.06,,11.94,3371,,-1.886,0.43,0.42,,
145,GJ 180,GJ 180 c,2014,24.329,0.129,0.09,6.4,0.02014,2.41,0.215,0.022,2.51,,11.94,3371,,-1.886,0.43,0.42,,
146,GJ 229,GJ 229 b,2014,471,0.97,0.1,32,0.10068,6.22,0.555,0.057,0.731,,5.76,3564,4.81,-1.553,0.58,0.46,,0.4
147,GJ 27.1,GJ 27.1 b,2014,15.819,0.101,0.08,13,0.0409,3.66,0.327,0.034,1.46,,23.62,3542,,-1.585,0.53,0.54,,
148,GJ 273,GJ 273 b,2017,18.6498,0.091101,0.1,2.89,0.00909,1.51,0.135,0.014,4.61,,3.8,3382,,-2.056,0.29,0.29,0.09,
